workload,tier_nodes,indexed,ops_count,batch_size,total_time_s,ops_per_sec,avg_batch_ms,p50_batch_ms,p95_batch_ms,p99_batch_ms,min_batch_ms,max_batch_ms,success_batches,error_batches,total_batches,pre_nodes,post_nodes,pre_edges,post_edges,delta_nodes,delta_edges
insert_attach_merge,250000,True,25000,1000,53.794,464.7,2035.61,2028.898,2100.88,2111.069,1949.375,2111.069,25,0,25,250000,275000,500000,525000,25000,25000
insert_attach_create,250000,True,25000,1000,9.148,2732.7,250.125,248.824,264.667,266.154,243.489,266.154,25,0,25,275000,300000,525000,550000,25000,25000
insert_pair_merge,250000,True,25000,1000,125.675,198.9,4798.8,4708.002,5629.316,5941.324,4357.599,5941.324,25,0,25,300000,350000,550000,575000,50000,25000
insert_pair_create,250000,True,25000,1000,14.308,1747.3,344.566,343.388,358.571,359.517,336.877,359.517,25,0,25,350000,400000,575000,600000,50000,25000
insert_edge_only,250000,True,25000,1000,2.231,11207.8,84.143,83.915,86.692,88.364,82.058,88.364,25,0,25,400000,400000,600000,625000,0,25000
insert_cdc_placeholder,250000,True,25000,1000,140.281,178.2,5607.176,5530.296,6327.265,6406.82,5133.082,6406.82,25,0,25,400000,450000,625000,650000,50000,25000
update_node_props,250000,True,25000,1000,8.95,2793.2,243.823,242.705,250.907,254.218,240.593,254.218,25,0,25,450000,450000,650000,650000,0,0
promote_inactive,250000,True,25000,1000,58.329,428.6,2332.137,42.668,6053.986,6203.423,41.46,6203.423,25,0,25,450000,450000,650000,650000,0,0
upsert_label_swap,250000,True,25000,1000,89.487,279.4,3465.583,3435.499,3926.15,3994.349,3093.475,3994.349,25,0,25,450000,475000,650000,650000,25000,0
upsert_label_swap_foreach,250000,True,25000,1000,8.725,2865.2,234.854,232.939,243.729,264.921,229.85,264.921,25,0,25,475000,500000,650000,650000,25000,0
insert_attach_merge,500000,True,25000,1000,14.346,1742.7,457.696,452.704,585.857,604.945,332.07,604.945,25,0,25,500000,525000,1000000,1025000,25000,25000
insert_attach_create,500000,True,25000,1000,9.139,2735.5,249.298,246.254,263.824,276.847,239.583,276.847,25,0,25,525000,550000,1025000,1050000,25000,25000
insert_pair_merge,500000,True,25000,1000,42.452,588.9,1469.558,1679.87,1974.885,2028.373,638.494,2028.373,25,0,25,550000,600000,1050000,1075000,50000,25000
insert_pair_create,500000,True,25000,1000,14.33,1744.6,345.128,344.617,350.26,353.913,339.836,353.913,25,0,25,600000,650000,1075000,1100000,50000,25000
insert_edge_only,500000,True,25000,1000,2.191,11410.8,82.903,82.602,85.308,85.719,81.218,85.719,25,0,25,650000,650000,1100000,1125000,0,25000
insert_cdc_placeholder,500000,True,25000,1000,36.956,676.5,1474.152,1853.663,2023.235,2030.805,226.425,2030.805,25,0,25,650000,700000,1125000,1150000,50000,25000
update_node_props,500000,True,25000,1000,8.884,2814.1,240.625,239.977,246.617,247.057,232.961,247.057,25,0,25,700000,700000,1150000,1150000,0,0
promote_inactive,500000,True,25000,1000,5.177,4829.2,206.049,41.878,565.161,595.37,40.162,595.37,25,0,25,700000,700000,1150000,1150000,0,0
upsert_label_swap,500000,True,25000,1000,22.92,1090.8,802.126,804.422,950.629,965.445,633.969,965.445,25,0,25,700000,725000,1150000,1150000,25000,0
upsert_label_swap_foreach,500000,True,25000,1000,8.554,2922.8,227.898,227.449,233.464,233.746,220.221,233.746,25,0,25,725000,750000,1150000,1150000,25000,0
